🕘️更新时间,#genre#
2025-07-04 11:19:31,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8

📺央视频道,#genre#
CCTV-1,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8
CCTV-1,http://171.15.18.199:8180/TV00000000000000000001@HHZT
CCTV-2,http://171.15.18.199:8180/TV00000000000000000002@HHZT
CCTV-3,http://171.15.18.199:8180/TV00000000000000000003@HHZT
CCTV-4,http://171.15.18.199:8180/TV00000000000000000004@HHZT
CCTV-5,http://171.15.18.199:8180/TV00000000000000000005@HHZT
CCTV-6,http://171.15.18.199:8180/TV00000000000000000006@HHZT
CCTV-7,http://123.154.154.59:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-8,http://123.154.154.59:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-8,http://171.15.18.199:8180/TV00000000000000000008@HHZT
CCTV-8,http://116.128.242.83:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8,http://123.163.114.208:85/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-9,http://171.15.18.199:8180/TV00000000000000000009@HHZT
CCTV-11,http://171.15.18.199:8180/TV00000000000000000011@HHZT
CCTV-13,http://171.15.18.199:8180/TV00000000000000000013@HHZT
CCTV-14,http://171.15.18.199:8180/TV00000000000000000014@HHZT

📡卫视频道,#genre#
广东卫视,http://171.15.18.199:8180/TV00000000000000000031@HHZT
浙江卫视,http://171.15.18.199:8180/TV00000000000000000020@HHZT
北京卫视,http://omnix.cn:4000/udp/225.1.8.21:8002
湖北卫视,http://171.15.18.199:8180/TV00000000000000000025@HHZT
重庆卫视,http://171.15.18.199:8180/TV00000000000000000030@HHZT
东方卫视,http://171.15.18.199:8180/TV00000000000000000021@HHZT
广西卫视,https://hlscdn.liangtv.cn/live/0c4ef3a44b934cacb8b47121dfada66c/d7e04258157b480dae53883cc6f8123b.m3u8
广西卫视,https://hlscdn.liangtv.cn/live/de0f97348eb84f62aa6b7d8cf0430770/dd505d87880c478f901f38560ca4d4e6.m3u8
广西卫视,http://171.15.18.199:8180/TV00000000000000000032@HHZT
海南卫视,http://171.15.18.199:8180/TV00000000000000000028@HHZT
河北卫视,http://171.15.18.199:8180/TV00000000000000000035@HHZT
河南卫视,http://1.94.31.214/php/hntv.php?id=hnws
河南卫视,http://171.15.18.199:8180/TV00000000000000000016@HHZT
吉林卫视,http://171.15.18.199:8180/TV00000000000000000036@HHZT
江西卫视,http://171.15.18.199:8180/TV00000000000000000037@HHZT
山东卫视,http://171.15.18.199:8180/TV00000000000000000024@HHZT
